hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grove Hill Memorial Hospital,8/1/2024,2.0.0,Grove Hill Memorial Hospital,"295 South Jackson Street, Grove Hill, AL 36451",63-0436871 | AL,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code | 1,code |1| type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,,modifiers,standard_charge|[BCBS]|[Alabama] |negotiated_dollar,standard_charge|[Medicare]|[Alabama] |negotiated_dollar,standard_charge|[Aetna]|[Alabama] | negotiated_dollar,standard_charge|[Cigna]|[Alabama] |negotiated_dollar,standard_charge|[Humana]|[Alabama] |negotiated_dollar,standard_charge|[Medicaid]|[Alabama] |negotiated_dollar,standard_charge|[BCBS]|[Alabama]|negotiated_percentage,standard_charge|[Medicare]|[Alabama]|negotiated_percentage,standard_charge|[Aetna]|[Alabama]|negotiated_percentage,standard_charge|[Cigna]|[Alabama]|negotiated_percentage,standard_charge|[Humana]|[Alabama]|negotiated_percentage,standard_charge|[Medicaid]|[Alabama]|negotiated_percentage,standard_charge|[BCBS]|[Alabama]|negotiated_algorithm,standard_charge|[Medicare]|[Alabama]|negotiated_algorithm,standard_charge|[Aetna]|[Alabama]|negotiated_algorithm,standard_charge|[Cigna]|[Alabama]|negotiated_algorithm,standard_charge|[Humana]|[Alabama]|negotiated_algorithm,standard_charge|[Medicaid]|[Alabama]|negotiated_algorithm,standard_charge|min,standard_charge|max,standard_charge|[BCBS] |[Alabama] |methodology,standard_charge|[Medicare] |[Alabama] |methodology,standard_charge|[Aetna] |[Alabama] |methodology,standard_charge|[Cigna] |[Alabama] |methodology,standard_charge|[Humana] |[Alabama] |methodology,standard_charge|[Medicaid] |[Alabama] |methodology,estimated_amount|[BCBS]|[Alabama],estimated_amount|[Medicare]|[Alabama],estimated_amount|[Aetna]|[Alabama],estimated_amount|[Cigna]|[Alabama],estimated_amount|[Humana]|[Alabama],estimated_amount|[Medicaid]|[Alabama],additional_generic_notes,additional_payer_notes|[BCBS]|[Alabama],additional_payer_notes|[Medicare]|[Alabama],additional_payer_notes|[Aetna]|[Alabama],additional_payer_notes|[Cigna]|[Alabama],additional_payer_notes|[Humana]|[Alabama],additional_payer_notes|[Medicaid]|[Alabama]
ER CRITICAL CARE ADDTN,99292,CPT,Outpatient,,,918,550.8,,,183.6,183.6,183.6,183.6,183.6,183.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,108,405,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,108,108,108,108,108,108,N/A,,,,,,
TELEMETRY,93041,CPT,Both,,,171,102,,,34.2,34.2,34.2,34.2,34.2,34.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,34.2,128,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,34.2,34.2,34.2,34.2,34.2,34.2,N/A,,,,,,
FETAL MONITORING,59020,CPT,Both,,,323,194,,,64.6,64.6,64.6,64.6,64.6,64.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,64.6,242,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,64.6,64.6,64.6,64.6,64.6,64.6,N/A,,,,,,
ER CRITICAL CARE,99291,CPT,Outpatient,,,2538,1522.8,,25,507.6,507.6,507.6,507.6,507.6,507.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,298.4,1119,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,298.4,298.4,298.4,298.4,298.4,298.4,N/A,,,,,,
ER LEVEL I,99281,CPT,Outpatient,,,255,153,,,51,51,51,51,51,51,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,44.4,167,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,44.4,44.4,44.4,44.4,44.4,44.4,N/A,,,,,,
ER LEVEL II,99282,CPT,Outpatient,,,468,280.8,,,93.6,93.6,93.6,93.6,93.6,93.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,80.4,302,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,80.4,80.4,80.4,80.4,80.4,80.4,N/A,,,,,,
ER LEVEL III,99283,CPT,Outpatient,,,816,489.6,,,163.2,163.2,163.2,163.2,163.2,163.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,141.8,532,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,141.8,141.8,141.8,141.8,141.8,141.8,N/A,,,,,,
ER LEVEL IV,99284,CPT,Outpatient,,,1266,759.1,,,253.2,253.2,253.2,253.2,253.2,253.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,223,836,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,223,223,223,223,223,223,N/A,,,,,,
ER LEVEL V,99285,CPT,Outpatient,,,1836,1101.4,,,367.2,367.2,367.2,367.2,367.2,367.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,320,1200,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,320,320,320,320,320,320,N/A,,,,,,
IV INFUSION EA ADDL HR,96366,CPT,Both,,,123,74,,,24.6,24.6,24.6,24.6,24.6,24.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,24.6,92,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,24.6,24.6,24.6,24.6,24.6,24.6,N/A,,,,,,
IV HYDRATION INIT 31MI,96360,CPT,Both,,,627,376,,,125.4,125.4,125.4,125.4,125.4,125.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,125.4,470,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,125.4,125.4,125.4,125.4,125.4,125.4,N/A,,,,,,
IV HYDRATION EA ADD HR,96361,CPT,Both,,,123,74,,,24.6,24.6,24.6,24.6,24.6,24.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,24.6,92,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,24.6,24.6,24.6,24.6,24.6,24.6,N/A,,,,,,
IV PUSH SEQ NEW DRUG/S,96375,CPT,Both,,,123,74,,,24.6,24.6,24.6,24.6,24.6,24.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,24.6,92,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,24.6,24.6,24.6,24.6,24.6,24.6,N/A,,,,,,
IV INFUSION CONCURRENT,96368,CPT,Both,,,149,89,,,29.8,29.8,29.8,29.8,29.8,29.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,29.8,112,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,29.8,29.8,29.8,29.8,29.8,29.8,N/A,,,,,,
PSG,95810,CPT,Outpatient,,,3107,1864,,,621.4,621.4,621.4,621.4,621.4,621.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,621.4,2330,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,621.4,621.4,621.4,621.4,621.4,621.4,N/A,,,,,,
SPLIT STUDY,95811,CPT,Outpatient,,,2981,1789,,,596.2,596.2,596.2,596.2,596.2,596.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,596.2,2236,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,596.2,596.2,596.2,596.2,596.2,596.2,N/A,,,,,,
MSLT,95805,CPT,Outpatient,,,1848,1109,,,369.6,369.6,369.6,369.6,369.6,369.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,369.6,1386,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,369.6,369.6,369.6,369.6,369.6,369.6,N/A,,,,,,
ARTERIAL PUNCTURE,36600,CPT,Both,,,336,202,,,67.2,67.2,67.2,67.2,67.2,67.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,67.2,252,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,67.2,67.2,67.2,67.2,67.2,67.2,N/A,,,,,,
CORD PH,82800,CPT,Both,,,55,33,,,11,11,11,11,11,11,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,11,41,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,11,11,11,11,11,11,N/A,,,,,,
CPAP/BIPAP VENT,94660,CPT,Outpatient,,,439,263,,,87.8,87.8,87.8,87.8,87.8,87.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,87.8,329,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,87.8,87.8,87.8,87.8,87.8,87.8,N/A,,,,,,
....EVENT MONITOR READ,93272,CPT,Both,,,137,82,,,27.4,27.4,27.4,27.4,27.4,27.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,27.4,103,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,27.4,27.4,27.4,27.4,27.4,27.4,N/A,,,,,,
VENTILATION UNIT DAY,94002,CPT,Both,,,1162,697,,,232.4,232.4,232.4,232.4,232.4,232.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,232.4,872,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,232.4,232.4,232.4,232.4,232.4,232.4,N/A,,,,,,
PEAK FLOW MEASUREMENTS,94664,CPT,Both,,,199,119,,76,39.8,39.8,39.8,39.8,39.8,39.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,39.8,149,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,39.8,39.8,39.8,39.8,39.8,39.8,N/A,,,,,,
AEROSOL/MDI TREATMENT,94640,CPT,Both,,,576,346,,76,115.2,115.2,115.2,115.2,115.2,115.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,115.2,432,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,115.2,115.2,115.2,115.2,115.2,115.2,N/A,,,,,,
PFT FLOW VOLUME LOOP,94375,CPT,Both,,,306,184,,,61.2,61.2,61.2,61.2,61.2,61.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,61.2,230,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,61.2,61.2,61.2,61.2,61.2,61.2,N/A,,,,,,
FULL PFT,94060,CPT,Both,,,418,251,,,83.6,83.6,83.6,83.6,83.6,83.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,83.6,314,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,83.6,83.6,83.6,83.6,83.6,83.6,N/A,,,,,,
. FULL PFT ASSOC CHG,94726,CPT,Both,,,418,251,,,83.6,83.6,83.6,83.6,83.6,83.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,83.6,314,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,83.6,83.6,83.6,83.6,83.6,83.6,N/A,,,,,,
. FULL PFT ASSOC CHG,94729,CPT,Both,,,100,60,,,20,20,20,20,20,20,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20,75,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,20,20,20,20,20,20,N/A,,,,,,
CARDIAC REHAB PHASE II,93798,CPT,Outpatient,,,186,112,,,37.2,37.2,37.2,37.2,37.2,37.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,37.2,140,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,37.2,37.2,37.2,37.2,37.2,37.2,N/A,,,,,,
SUB MAXIMAL TEST 93017,93017,CPT,Outpatient,,,843,506,,,168.6,168.6,168.6,168.6,168.6,168.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,168.6,632,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,168.6,168.6,168.6,168.6,168.6,168.6,N/A,,,,,,
CONDITIONING,93799,CPT,Outpatient,,,318,191,,,63.6,63.6,63.6,63.6,63.6,63.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,63.6,239,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,63.6,63.6,63.6,63.6,63.6,63.6,N/A,,,,,,
THERA EXER PULM NON-CO,G0239,CPT,Outpatient,,,113,68,,,22.6,22.6,22.6,22.6,22.6,22.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.6,85,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.6,22.6,22.6,22.6,22.6,22.6,N/A,,,,,,
OBSERVATION DIRECT ADM,G0379,CPT,Outpatient,,,1600,960,,,320,320,320,320,320,320,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,320,1200,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,320,320,320,320,320,320,N/A,,,,,,
OBSERVATION COVERED HR,G0378,CPT,Outpatient,,,70,42,,25,14,14,14,14,14,14,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,14,53,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,14,14,14,14,14,14,N/A,,,,,,
XR ABDOMEN WITH CHEST,74022,CPT,Both,,,250,150,,TC,50,50,50,50,50,50,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,50,188,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,50,50,50,50,50,50,N/A,,,,,,
XR ABDOMEN FLAT/ERECT,74019,CPT,Both,,,269,161,,TC,53.8,53.8,53.8,53.8,53.8,53.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,53.8,202,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,53.8,53.8,53.8,53.8,53.8,53.8,N/A,,,,,,
XR KUB-ABDOMEN,74018,CPT,Both,,,175,105,,,35,35,35,35,35,35,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,35,131,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,35,35,35,35,35,35,N/A,,,,,,
XR CHEST 3 VIEWS,71047,CPT,Both,,,422,253,,,84.4,84.4,84.4,84.4,84.4,84.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,84.4,317,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,84.4,84.4,84.4,84.4,84.4,84.4,N/A,,,,,,
XR C SPINE 2 OR 3 VIEW,72040,CPT,Both,,,162,97,,TC,32.4,32.4,32.4,32.4,32.4,32.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,32.4,122,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,32.4,32.4,32.4,32.4,32.4,32.4,N/A,,,,,,
XR C SPINE COMPLETE,72052,CPT,Both,,,365,219,,TC,73,73,73,73,73,73,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,73,274,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,73,73,73,73,73,73,N/A,,,,,,
XR CERVICAL SPINE 4-5,72050,CPT,Both,,,236,142,,TC,47.2,47.2,47.2,47.2,47.2,47.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,47.2,177,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,47.2,47.2,47.2,47.2,47.2,47.2,N/A,,,,,,
XR CHEST 4+ VIEWS,71048,CPT,Both,,,343,206,,,68.6,68.6,68.6,68.6,68.6,68.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,68.6,257,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,68.6,68.6,68.6,68.6,68.6,68.6,N/A,,,,,,
XR CHEST PA LAT 2 VIEW,71046,CPT,Both,,,250,150,,TC,50,50,50,50,50,50,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,50,188,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,50,50,50,50,50,50,N/A,,,,,,
XR CHEST SINGLE VIEW,71045,CPT,Both,,,150,90,,,30,30,30,30,30,30,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,30,113,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,30,30,30,30,30,30,N/A,,,,,,
XR PA CHEST W RIBS,71111,CPT,Both,,,608,365,,TC,121.6,121.6,121.6,121.6,121.6,121.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,121.6,456,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,121.6,121.6,121.6,121.6,121.6,121.6,N/A,,,,,,
XR EYE ORBIT COMPLETE,70200,CPT,Both,,,419,251,,TC,83.8,83.8,83.8,83.8,83.8,83.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,83.8,314,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,83.8,83.8,83.8,83.8,83.8,83.8,N/A,,,,,,
XR FACIAL BONE COMPLET,70150,CPT,Both,,,339,203,,TC,67.8,67.8,67.8,67.8,67.8,67.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,67.8,254,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,67.8,67.8,67.8,67.8,67.8,67.8,N/A,,,,,,
