hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,
ACYCLOVIR 5MG INJ,7212160,CDM,BOTH,5,UN,1.49,1.49,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,1.33,Fee Schedule,negotiated rate
ADENOSINE 1MG INJ,1213711,CDM,BOTH,1,UN,16.97,16.97,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,11.88,Fee Schedule,negotiated rate
ADENOSINE 1MG INJ,1214003,CDM,BOTH,1,UN,49.9,49.9,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,34.93,Fee Schedule,negotiated rate
ADRENL/EPINEP 0.1MG,1212118,CDM,BOTH,,,13.95,13.95,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,42.66,Fee Schedule,negotiated rate
ADRENL/EPINEP 0.1MG,1212119,CDM,BOTH,,,13.95,13.95,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,11.93,Fee Schedule,negotiated rate
ADRENL/EPINEP 0.1MG,1212498,CDM,BOTH,,,13.95,13.95,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,11.93,Fee Schedule,negotiated rate
ADRENL/EPINEP 0.1MG,1214534,CDM,BOTH,,,13.95,13.95,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,11.93,Fee Schedule,negotiated rate
REMDESIVIR 1MG INJ,1216032,CDM,BOTH,1,UN,46.34,46.34,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,6.06,32.44,Fee Schedule,negotiated rate
ALPROSTAD 1.25MCGINJ,7212162,CDM,BOTH,25,UN,2.94,2.94,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,39.62,Fee Schedule,negotiated rate
AMKCN SULF INJ 100MG,7212202,CDM,BOTH,1,ME,27.92,27.92,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,19.54,Fee Schedule,negotiated rate
AMINOPHYLL 250MG INJ,1211215,CDM,BOTH,25,UN,54.43,54.43,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,38.1,Fee Schedule,negotiated rate
AMIODARONE 30MG INJ,1210342,CDM,BOTH,3,UN,6.93,6.93,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,46.54,Fee Schedule,negotiated rate
AMIODARONE 30MG INJ,7212124,CDM,BOTH,3,UN,37.68,37.68,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,26.38,Fee Schedule,negotiated rate
AMPICILLIN 500MG INJ,1210236,CDM,BOTH,5,UN,53.21,53.21,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,37.25,Fee Schedule,negotiated rate
AMPICILLIN 500MG INJ,1210237,CDM,BOTH,5,UN,38.09,38.09,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,45.49,Fee Schedule,negotiated rate
AMPICILLIN 500MG INJ,1211180,CDM,BOTH,5,UN,96.59,96.59,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,67.61,Fee Schedule,negotiated rate
AMPICILLIN 500MG INJ,7212109,CDM,BOTH,5,UN,118.66,118.66,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,83.06,Fee Schedule,negotiated rate
AMPICILLIN/SUB 1.5GM,1210188,CDM,BOTH,1,GM,120.05,120.05,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,101.45,Fee Schedule,negotiated rate
AMPICILLIN/SUB 1.5GM,7211971,CDM,BOTH,1,GM,120.05,120.05,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,102.64,Fee Schedule,negotiated rate
SUCCINYLCHN 20MG INJ,1214073,CDM,BOTH,2,UN,9.56,9.56,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,102.64,Fee Schedule,negotiated rate
SUCCINYLCHN 20MG INJ,7211972,CDM,BOTH,2,UN,8.09,8.09,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,8.17,Fee Schedule,negotiated rate
HYDRALAZINE 20MG INJ,7212111,CDM,BOTH,2,UN,174.47,174.47,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,122.13,Fee Schedule,negotiated rate
ARIPIPRAZ ER 1MG IM,1213699,CDM,BOTH,,,52.19,52.19,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,6.81,149.17,Fee Schedule,negotiated rate
ARIPIPRAZ ER 1MG IM,1213700,CDM,BOTH,,,52.19,52.19,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,6.81,44.62,Fee Schedule,negotiated rate
AZITHROMYC 500MG INJ,7212247,CDM,BOTH,5,UN,244.26,244.26,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,170.98,Fee Schedule,negotiated rate
AZTREONAM INJ 100 MG,1216226,CDM,BOTH,1,ME,30.31,30.31,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,2.51,208.84,Fee Schedule,negotiated rate
AZTREONAM INJ 100 MG,1216237,CDM,BOTH,1,ME,30.78,30.78,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,2.51,25.92,Fee Schedule,negotiated rate
ATROPINE 0.01MG INJ,1211643,CDM,BOTH,,,2.7,2.7,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,26.32,Fee Schedule,negotiated rate
ATROPINE 0.01MG INJ,1211644,CDM,BOTH,,,3.07,3.07,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,2.31,Fee Schedule,negotiated rate
ATROPINE 0.01MG INJ,1212585,CDM,BOTH,,,1.65,1.65,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,2.62,Fee Schedule,negotiated rate
ATROPINE 0.01MG INJ,1216164,CDM,BOTH,,,3.54,3.54,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,2.48,Fee Schedule,negotiated rate
DICYCLOMINE 20MG INJ,7212115,CDM,BOTH,2,UN,408.98,408.98,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,286.29,Fee Schedule,negotiated rate
BENZTROPN MES 1MGINJ,7212116,CDM,BOTH,1,ME,295.45,295.45,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,349.68,Fee Schedule,negotiated rate
PCN G BENZ/PROC 100K,1212133,CDM,BOTH,1,UN,68.39,68.39,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,15.74,252.61,Fee Schedule,negotiated rate
PEN G BENZ INJ 100K,1212135,CDM,BOTH,1,UN,125.25,125.25,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,19.1,87.68,Fee Schedule,negotiated rate
PEN G BENZ INJ 100K,1212136,CDM,BOTH,1,UN,72.56,72.56,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,17.41,107.09,Fee Schedule,negotiated rate
BIVALIRUDIN 1MG INJ,7211827,CDM,BOTH,1,UN,22.77,22.77,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,62.04,Fee Schedule,negotiated rate
BOTULINUM TOXI A 1U,7211828,CDM,BOTH,1,UN,55.83,55.83,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,6.33,39.08,Fee Schedule,negotiated rate
BUPRENORPH 0.1MG INJ,7211977,CDM,BOTH,,,59.55,59.55,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,47.73,Fee Schedule,negotiated rate
BUTORPHANOL 1MG INJ,7212128,CDM,BOTH,1,UN,55.83,55.83,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,50.92,Fee Schedule,negotiated rate
BUTORPHANOL 1MG INJ,7212339,CDM,BOTH,1,UN,100.13,100.13,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,70.09,Fee Schedule,negotiated rate
EDETATE CA UP TO 1GM,7212182,CDM,BOTH,1,GM,1232.5,1232.5,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,85.61,6521.8,Fee Schedule,negotiated rate
CALCIUM GLUC 10%10MG,7211978,CDM,BOTH,1,ME,136.71,136.71,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,1053.79,Fee Schedule,negotiated rate
"CALCITONIN,SAL 400IU",7211979,CDM,BOTH,4,F2,19976.78,19976.78,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,116.89,13983.75,Fee Schedule,negotiated rate
LEUCOVORIN 50MG INJ,1210193,CDM,BOTH,5,UN,26.52,26.52,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,17080.15,Fee Schedule,negotiated rate
BUPIVACAIN INJ 0.5MG,1210253,CDM,BOTH,,,1.38,1.38,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,22.67,Fee Schedule,negotiated rate
BUPIVACAIN INJ 0.5MG,1210316,CDM,BOTH,,,1,1,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,1,Fee Schedule,negotiated rate
BUPIVACAIN INJ 0.5MG,1210318,CDM,BOTH,,,1,1,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,1,Fee Schedule,negotiated rate
BUPIVACAIN INJ 0.5MG,1210319,CDM,BOTH,,,1,1,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,1,Fee Schedule,negotiated rate
BUPIVACAIN INJ 0.5MG,1210321,CDM,BOTH,,,3.03,3.03,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,2.12,Fee Schedule,negotiated rate
BUPIVACAIN INJ 0.5MG,1210329,CDM,BOTH,,,1,1,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,1,Fee Schedule,negotiated rate
CEFAZOLIN 500MG INJ,1210194,CDM,BOTH,5,UN,97.7,97.7,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,68.39,Fee Schedule,negotiated rate
CEFAZOLIN 500MG INJ,1212416,CDM,BOTH,5,UN,41.7,41.7,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,83.53,Fee Schedule,negotiated rate
CEFAZOLIN 500MG INJ,1276074,CDM,BOTH,5,UN,26.04,26.04,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,35.65,Fee Schedule,negotiated rate
CEFAZOLIN 500MG INJ,7211982,CDM,BOTH,5,UN,97.7,97.7,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,68.39,Fee Schedule,negotiated rate
CEFEPIME 500MG INJ,1210145,CDM,BOTH,5,UN,61.22,61.22,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,83.53,Fee Schedule,negotiated rate
CEFEPIME 500MG INJ,1216131,CDM,BOTH,5,UN,22.48,22.48,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,52.34,Fee Schedule,negotiated rate
CEFEPIME 500MG INJ,7212148,CDM,BOTH,5,UN,48.86,48.86,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,34.2,Fee Schedule,negotiated rate
CEFOXITIN 1GM INJ,1210149,CDM,BOTH,1,UN,171.68,171.68,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,120.18,Fee Schedule,negotiated rate
CEFOXITIN 1GM INJ,1218014,CDM,BOTH,1,UN,171.68,171.68,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,146.79,Fee Schedule,negotiated rate
CEFTRIAXONE 250MGINJ,1210195,CDM,BOTH,25,ME,43.26,43.26,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,146.79,Fee Schedule,negotiated rate
CEFTRIAXONE 250MGINJ,1210196,CDM,BOTH,25,ME,43.26,43.26,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,36.99,Fee Schedule,negotiated rate
CEFTRIAXONE 250MGINJ,1210197,CDM,BOTH,25,ME,102.06,102.06,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,71.44,Fee Schedule,negotiated rate
CEFTRIAXONE 250MGINJ,7211983,CDM,BOTH,25,ME,43.26,43.26,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,87.26,Fee Schedule,negotiated rate
CEFOTAXIME NA 1GM,7212147,CDM,BOTH,1,GM,104.68,104.68,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,73.28,Fee Schedule,negotiated rate
BETAM ACE/SOD PHO3MG,1214515,CDM,BOTH,3,ME,249.66,249.66,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,174.76,Fee Schedule,negotiated rate
CEFEPIMEBR 500MG INJ,1210796,CDM,BOTH,5,UN,50.87,50.87,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,5.09,213.46,Fee Schedule,negotiated rate
CEFEPIMEBR 500MG INJ,1212926,CDM,BOTH,5,UN,91.54,91.54,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,5.09,64.08,Fee Schedule,negotiated rate
CAFFEINE CIT 5MG INJ,7211987,CDM,BOTH,5,UN,23.73,23.73,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,78.27,Fee Schedule,negotiated rate
CEFTAZIDIM 500MG INJ,1210199,CDM,BOTH,5,UN,22.28,22.28,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,20.29,Fee Schedule,negotiated rate
CEFTAZIDIM 500MG INJ,7211985,CDM,BOTH,5,UN,94.91,94.91,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,66.44,Fee Schedule,negotiated rate
CLINDAMYCN 300MG INJ,1210151,CDM,BOTH,3,UN,75.55,75.55,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1.9,81.15,Fee Schedule,negotiated rate
CLINDAMYCN 300MG INJ,1210220,CDM,BOTH,3,UN,67.86,67.86,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1.9,64.6,Fee Schedule,negotiated rate
CLINDAMYCN 300MG INJ,1210242,CDM,BOTH,3,UN,35.85,35.85,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1.9,58.02,Fee Schedule,negotiated rate
CLINDAMYCN 300MG INJ,1210244,CDM,BOTH,3,UN,27.61,27.61,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1.9,30.65,Fee Schedule,negotiated rate
CLINDAM 300MG IJ BAX,1210098,CDM,BOTH,,,106.5,106.5,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1.75,74.55,Fee Schedule,negotiated rate
CILAS NA IMIP 250MG,1210200,CDM,BOTH,25,ME,144.67,144.67,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,101.27,Fee Schedule,negotiated rate
CILAS NA IMIP 250MG,7211986,CDM,BOTH,25,ME,279.15,279.15,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,195.41,Fee Schedule,negotiated rate
CIPROFLOXAC 200MG IV,1210202,CDM,BOTH,2,UN,69.78,69.78,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,238.67,Fee Schedule,negotiated rate
CIPROFLOXAC 200MG IV,7211988,CDM,BOTH,2,UN,100.51,100.51,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,70.36,Fee Schedule,negotiated rate
PROCHLORPE UPTO 10MG,7211989,CDM,BOTH,1,ME,168.9,168.9,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,118.23,Fee Schedule,negotiated rate
COSYNTROPN .25MG INJ,7211939,CDM,BOTH,25,UN,890.53,890.53,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,623.37,Fee Schedule,negotiated rate
CROTALID POLY IM 1GM,1212114,CDM,BOTH,1,GM,30972.2,30972.2,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,761.4,21680.54,Fee Schedule,negotiated rate
CROTAL IMM 120MG INJ,1214945,CDM,BOTH,12,UN,1631.52,1631.52,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,391.56,26481.23,Fee Schedule,negotiated rate
DAPTOMYCIN 1 MG INJ,1214869,CDM,BOTH,1,UN,1,1,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,1,Fee Schedule,negotiated rate
DAPTOMYCIN 1 MG INJ,7211807,CDM,BOTH,1,UN,9.66,9.66,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,6.76,Fee Schedule,negotiated rate
ARGATROBAN 1MG NESRD,1214405,CDM,BOTH,,,55.28,55.28,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,38.7,Fee Schedule,negotiated rate
EPO 1000UN INJ NESRD,1211049,CDM,BOTH,,,188.43,188.43,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,7.09,131.9,Fee Schedule,negotiated rate
EPO 1000UN INJ NESRD,1211051,CDM,BOTH,,,188.43,188.43,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,7.09,161.11,Fee Schedule,negotiated rate
EPO 1000UN INJ NESRD,7211933,CDM,BOTH,,,188.43,188.43,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,7.09,161.11,Fee Schedule,negotiated rate
DEFEROXAMIN 500MGINJ,7211990,CDM,BOTH,5,ME,107.47,107.47,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,161.11,Fee Schedule,negotiated rate
DENOSUMAB 1MG INJ,1212266,CDM,BOTH,1,UN,26.84,26.84,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,6.44,91.89,Fee Schedule,negotiated rate
DEPO-ESTR CYPION INJ,7211959,CDM,BOTH,,,64.21,64.21,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,44.95,Fee Schedule,negotiated rate
METHYLPR ACE 40MGINJ,7211991,CDM,BOTH,4,ME,157.59,157.59,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,110.31,Fee Schedule,negotiated rate
METHYLPRED 80MG INJ,7212170,CDM,BOTH,8,UN,139.59,139.59,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,134.74,Fee Schedule,negotiated rate
MEDROXYPROG 1MG INJ,1213375,CDM,BOTH,1,UN,4.05,4.05,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,119.35,Fee Schedule,negotiated rate
TESTOSTER CYPION 1MG,1214006,CDM,BOTH,1,ME,1,1,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,1,Fee Schedule,negotiated rate
DEXAMETH NA 1MG INJ,1210801,CDM,BOTH,1,UN,56.77,56.77,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,39.74,Fee Schedule,negotiated rate
DEXAMETH NA 1MG INJ,1210967,CDM,BOTH,1,UN,5.87,5.87,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,48.54,Fee Schedule,negotiated rate
DEXAMETH NA 1MG INJ,7211993,CDM,BOTH,1,UN,16.76,16.76,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,11.73,Fee Schedule,negotiated rate
DIHYDROERGOT 1MG INJ,7212188,CDM,BOTH,1,UN,220.54,220.54,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,154.38,Fee Schedule,negotiated rate
ACETAZOLAMI 500MGINJ,7212151,CDM,BOTH,5,ME,834.7,834.7,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,584.29,Fee Schedule,negotiated rate
DIGOXIN 0.5MG INJ,7211994,CDM,BOTH,,,114.45,114.45,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,713.67,Fee Schedule,negotiated rate
DIGOXIN IMMUNE FAB,7212208,CDM,BOTH,,,10834.31,10834.31,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,97.85,7584.02,Fee Schedule,negotiated rate
PHENYTOIN NA 50MGINJ,1210206,CDM,BOTH,5,ME,23.73,23.73,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,9263.34,Fee Schedule,negotiated rate
PHENYTOIN NA 50MGINJ,7211995,CDM,BOTH,5,ME,68.39,68.39,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,47.87,Fee Schedule,negotiated rate
HYDROMORPH UP TO 4MG,1212378,CDM,BOTH,4,ME,41.15,41.15,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,58.47,Fee Schedule,negotiated rate
HYDROMORPH UP TO 4MG,1213527,CDM,BOTH,4,ME,82.84,82.84,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,57.99,Fee Schedule,negotiated rate
HYDROMORPH UP TO 4MG,7211997,CDM,BOTH,4,ME,96.32,96.32,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,70.83,Fee Schedule,negotiated rate
HYDROMORPH UP TO 4MG,7212274,CDM,BOTH,4,ME,79.56,79.56,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,82.35,Fee Schedule,negotiated rate
DIPHENHYDRAM 50MGINJ,7212119,CDM,BOTH,5,ME,75.39,75.39,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,68.02,Fee Schedule,negotiated rate
CHLOROTHIAZ 500MG IJ,7212322,CDM,BOTH,,,2071.37,2071.37,BLUE CROSS OF AL,BLUE CROSS AL COMMERCIAL,,,,,,1,1449.96,Fee Schedule,negotiated rate
