hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number | DE,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,
Removal of tonsils and adenoid glands patient younger than age 12,42820,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Diagnostic examination of esophagus, stomach, and/or upper small bowel using an endoscope""",43235,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Biopsy of the esophagus, stomach, and/or upper small bowel using an endoscope""",43239,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Diagnostic examination of large bowel using an endoscope,45378,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Biopsy of large bowel using an endoscope,45380,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Removal of polyps or growths of large bowel using an endoscope,45385,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Ultrasound examination of lower large bowel using an endoscope,45391,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Removal of gallbladder using an endoscope,47562,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Repair of groin hernia patient age 5 years or older,49505,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Biopsy of prostate gland,55700,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Routine obstetric care for vaginal delivery, including pre-and post-delivery care""",59400,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Routine obstetric care for cesarean delivery, including pre-and post-delivery care""",59510,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Removal of recurring cataract in lens capsule using laser,66821,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Removal of cataract with insertion of lens,66984,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""CT scan, head or brain, without contrast""",70450,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
MRI scan of brain before and after contrast,70553,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""X-Ray, lower back, minimum four views""",72110,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
MRI scan of lower spinal canal,72148,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""CT scan, pelvis, with contrast""",72193,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
MRI scan of leg joint,73721,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
CT scan of abdomen and pelvis with contrast,74177,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Ultrasound of abdomen,76700,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Abdominal ultrasound of pregnant uterus (greater or equal to 14 weeks 0 days) single or first fetus,76805,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Ultrasound pelvis through vagina,76830,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Mammography of one breast,77065,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Mammography of both breasts,77066,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Mammography, screening, bilateral""",77067,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Basic metabolic panel,80048,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Blood test, comprehensive group of blood chemicals""",80053,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Obstetric blood test panel,80055,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Blood test, lipids (cholesterol and triglycerides)""",80061,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Kidney function panel test,80069,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Liver function blood test panel,80076,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Testing for presence of drug, read by direct observation""",80305,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Testing for presence of drug, read by instrument assisted observation""",80306,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Testing for presence of drug, by chemistry analyzers""",80307,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Vitamin D-3 level,82306,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Blood creatinine level,82565,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Cyanocobalamin (vitamin B-12) level,82607,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Ferritin (blood protein) level,82728,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Blood glucose (sugar) level,82947,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Blood glucose (sugar) tolerance test, 3 specimens""",82951,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Hemoglobin A1C level,83036,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Iron level,83540,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Iron binding capacity,83550,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
HDL cholesterol level,83718,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Blood test, thyroid stimulating hormone (TSH)""",84443,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Liver enzyme (SGPT), level""",84460,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Complete blood cell count, with differential white blood cells, automated""",85025,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Complete blood count, automated""",85027,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Blood test, clotting time""",85610,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Coagulation assessment blood test,85730,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Measurement C-reactive protein for detection of infection or inflammation,86140,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Measurement C-reactive protein for detection of infection or inflammation, high sensitivity""",86141,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Hepatitis B core antibody measurement,86704,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Hepatitis B surface antibody measurement,86706,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Bacterial blood culture,87040,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Stool culture, additional pathogens""",87046,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Bacterial culture, any other source except urine, blood or stool, aerobic""",87070,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Bacterial culture for aerobic isolates,87077,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Screening test for pathogenic organisms,87081,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Bacterial colony count, urine""",87086,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Bacterial urine culture,87088,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Fungal culture (mold or yeast) of skin, hair, or nail""",87101,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Evaluation of antimicrobial drug (antibiotic, antifungal, antiviral), microdilution or agar dilution""",87186,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Special Gram or Giemsa stain for microorganism,87205,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Smear for infectious agents,87210,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Psychiatric diagnostic evaluation with medical services,90792,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Psychotherapy, 30 min""",90832,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Psychotherapy, 45 min""",90834,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Psychotherapy with evaluation and management visit, 45 minutes""",90836,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Psychotherapy, 60 min""",90837,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Psychotherapy with evaluation and management visit, 1 hour""",90838,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Psychotherapy for crisis, first hour""",90839,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Family psychotherapy, not including patient, 50 min""",90846,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Family psychotherapy without patient,90846,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Family psychotherapy, including patient, 50 min""",90847,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Group psychotherapy,90853,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Electrocardiogram, routine, with interpretation and report""",93000,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Insertion of catheter into left heart for diagnosis,93452,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Sleep study,95810,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Physical therapy, therapeutic exercise""",97110,CPT,both,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""New patient office or other outpatient visit, typically 30 min""",99203,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""New patient office of other outpatient visit, typically 45 min""",99204,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""New patient office of other outpatient visit, typically 60 min""",99205,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Patient office consultation, typically 40 min""",99243,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"""Patient office consultation, typically 60 min""",99244,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Initial new patient preventive medicine evaluation (18-39 years),99385,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Initial new patient preventive medicine evaluation (40-64 years),99386,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,CPT,outpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Manual urinalysis test with examination using microscope,81000,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Automated urinalysis test,81002,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
PSA (prostate specific antigen),84153,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
Screening antigen/antibody for HIV,G0475,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
"Definitive drug testing, 1-7 classes",G0480,CPT,inpatient,,,,,,,,,,,,,,,Delaware Psychiatric Center is a State-run inpatient psychiatric facility these services are not considered shoppable by CMS standards but are provided to clients in our care as needed. The State of Delaware covers clients' treatment using General Funds,
