hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|CA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",general_contract_provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Martin Community Hospital,1/9/2025,1.0.0,Lake Martin Community Hospital,"201 Mariarden Rd, Dadeville, AL 36853",H6202,TRUE,"When total claim charges exceed $200,000.00 for a Platform Health Insurance plan, the entire claim will be reimbursed at 50% of charges. This amount will supersede any other contracted rate that would otherwise apply. When total claim charges exceed $250,000.00 for a Region Health Insurance plan, the entire claim will be reimbursed at 45% of charges. This amount will supersede any other contracted rate that would otherwise apply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,modifiers,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,standard_charge|MEDICARE|negotiated_dollar,standard_charge|MEDICARE|negotiated_percentage,standard_charge|MEDICARE|negotiated_algorithm,estimated_amount|MEDICARE|,standard_charge|MEDICARE|methodology,additional_payer_notes|MEDICARE|,standard_charge|TRICARE|ALL PLANS|negotiated_dollar,standard_charge|TRICARE|ALL PLANS|negotiated_percentage,standard_charge|TRICARE|ALL PLANS|negotiated_algorithm,estimated_amount|TRICARE|ALL PLANS,standard_charge|TRICARE|ALL PLANS|methodology,additional_payer_notes|TRICARE|ALL PLANS,standard_charge|MEDICAID|negotiated_dollar,standard_charge|MEDICAID|negotiated_percentage,standard_charge|MEDICAID|negotiated_algorithm,estimated_amount|MEDICAID|,standard_charge|MEDICAID|methodology,additional_payer_notes|MEDICAID|,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_dollar,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_percentage,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_algorithm,estimated_amount|VIVA MEDICARE ALL PLANS|,standard_charge|VIVA MEDICARE ALL PLANS|methodology,additional_payer_notes|VIVA MEDICARE ALL PLANS|,standard_charge|HUMANA ALL PLANS|negotiated_dollar,standard_charge|HUMANA ALL PLANS|negotiated_percentage,standard_charge|HUMANA ALL PLANS|negotiated_algorithm,estimated_amount|HUMANA ALL PLANS|,standard_charge|HUMANA ALL PLANS|methodology,additional_payer_notes|HUMANA ALL PLANS|,standard_charge|min,standard_charge|max,additional_generic_notes
EXCISION OF NAIL - PHY,11730,CPT,,,,BOTH,,,135,67.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,114.75,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
SUBUNGAL HEMATOMA EVACUATION- ER,11740,CPT,,,,BOTH,,,75,37.5,116.11,,,,FEE SCHEDULE,,104.5,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,116.11,,,,FEE SCHEDULE,,,85,,63.75,PERCENTAGE OF TOTAL BILLED CHARGES,,104.5,116.11,
NAILS EVAC SUBUNG,11740,CPT,,,,BOTH,,,75,37.5,116.11,,,,FEE SCHEDULE,,104.5,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,116.11,,,,FEE SCHEDULE,,,85,,63.75,PERCENTAGE OF TOTAL BILLED CHARGES,,104.5,116.11,
SUBUNGAL HEMATOMA EVACTION,11740,CPT,,,,BOTH,,,75,37.5,116.11,,,,FEE SCHEDULE,,104.5,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,116.11,,,,FEE SCHEDULE,,,85,,63.75,PERCENTAGE OF TOTAL BILLED CHARGES,,104.5,116.11,
EXCISE NAIL PERM,11750,CPT,,,,BOTH,,,247,123.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,209.95,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
REPAIR NAILBED,11760,CPT,,,,BOTH,,,277,138.5,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,235.45,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,580.95,
REPAIR OF NAIL BED - PHY,11760,CPT,,,,BOTH,,,277,138.5,580.95,,,,FEE SCHEDULE,,522.86,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,580.95,,,,FEE SCHEDULE,,,85,,235.45,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,580.95,
WEDGE EXCISION TOENAIL -ER,11765,CPT,,,,BOTH,,,223,111.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,189.55,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
WEDGE EXCISION TOENAIL - PHY,11765,CPT,,,,BOTH,,,223,111.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,189.55,PERCENTAGE OF TOTAL BILLED CHARGES,,335.76,373.07,
DERMACLOSE RC,11960,CPT,,,,BOTH,,,2340,1170,3253.04,,,,FEE SCHEDULE,,2927.74,,,,FEE SCHEDULE,,383.49,,,,FEE SCHEDULE,,3253.04,,,,FEE SCHEDULE,,,85,,1989,PERCENTAGE OF TOTAL BILLED CHARGES,,383.49,3253.04,
REMOVAL NON BIODEGRADEABLE DRUG IMP - ER,11982,CPT,,,,BOTH,,,175,87.5,377.57,,,,FEE SCHEDULE,,339.81,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,377.57,,,,FEE SCHEDULE,,,85,,148.75,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,377.57,
REMOVAL NON BIODEGRADEABLE DRUG IM - PHY,11982,CPT,,,,BOTH,,,175,87.5,377.57,,,,FEE SCHEDULE,,339.81,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,377.57,,,,FEE SCHEDULE,,,85,,148.75,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,377.57,
LAC SIMPLE - ER 2.5CM,12001,CPT,,,,BOTH,,,111,55.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,94.35,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC SIM HANDS UP/2,12001,CPT,,,,BOTH,,,110,55,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,93.5,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC SIMPLE UPTO 2.5 CM EXTREMITIES/TRUNK,12001,CPT,,,,BOTH,,,111,55.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,94.35,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC. SIMPLE  2.6-7.5 CM,12002,CPT,,,,BOTH,,,140,70,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,119,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
LAC SIM 2.6-7.5 CM,12002,CPT,,,,BOTH,,,140,70,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,119,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
LAC SIMPLE 2.6-7.5 CM EXTREMITIES/TRUNK,12002,CPT,,,,BOTH,,,140,70,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,119,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
LAC SIMPLE  7.6-12.5CM,12004,CPT,,,,BOTH,,,174,87,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,147.9,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC SIM 7.6-12.5 C,12004,CPT,,,,BOTH,,,182,91,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,154.7,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC SIMPLE 7.6-12.5 CM EXTREMITIE/TRUNK,12004,CPT,,,,BOTH,,,174,87,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,147.9,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC. SIMPLE  12.6-20CM,12005,CPT,,,,BOTH,,,238,119,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,202.3,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC EXTR 12.6-20CM,12005,CPT,,,,BOTH,,,239,119.5,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,203.15,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC SIMPLE 12.6-20 CM EXTREMITIES/TRUNK,12005,CPT,,,,BOTH,,,238,119,373.07,,,,FEE SCHEDULE,,335.76,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,373.07,,,,FEE SCHEDULE,,,85,,202.3,PERCENTAGE OF TOTAL BILLED CHARGES,,286.51,373.07,
LAC SIMPLE 2.5CM,12011,CPT,,,,BOTH,,,138,69,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,117.3,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
LAC SIM FAC <2.5,12011,CPT,,,,BOTH,,,138,69,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,117.3,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
"LAC SIMPLE UPTO 2.5  CM  FACE,EARS,NOSE",12011,CPT,,,,BOTH,,,138,69,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,286.51,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,117.3,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,286.51,
LAC. SIMPLE 2.6-7.5CM,12013,CPT,,,,BOTH,,,146,73,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,124.1,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC SIM FACE 2.6 5,12013,CPT,,,,BOTH,,,146,73,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,124.1,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC FACE 2.6-5.0 C,12013,CPT,,,,BOTH,,,146,73,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,124.1,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
"LAC SIMPLE 2.5 - 5.0 CM  FACE,EARS,NOSE",12013,CPT,,,,BOTH,,,146,73,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,124.1,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
"LAC SIMPLE 2.5 - 5.0 CM  FACE,EARS,NOSE",12013,CPT,,,,BOTH,,,146,73,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,124.1,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC SIMPLE 5-7.5CM,12014,CPT,,,,BOTH,,,276,138,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,234.6,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC FACE 5.1-7.5 C,12014,CPT,,,,BOTH,,,188,94,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,159.8,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
"LAC SIMPLE 5.1-7.5 CM  FACE,EARS,NOSE",12014,CPT,,,,BOTH,,,187,93.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,158.95,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC. SIMPLE 7.6-12.5 CM,12015,CPT,,,,BOTH,,,237,118.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,201.45,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
LAC FACE 7.6-12.5,12015,CPT,,,,BOTH,,,237,118.5,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,201.45,PERCENTAGE OF TOTAL BILLED CHARGES,,162.52,180.58,
