Encompass Health Rehabilitation Hospital of Dothan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1736 East Main St., Dothan, AL 36301-3040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State License # - H3504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare (CCN) # - 013030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hospital Financial Aide Policy - Our hospital offers a financial aide policy.  For more information go to the hospital's main website and click on ""For Patients"" and then select ""Financial Assistance""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: SHOPPABLE SERVICE NOT OFFERED AT HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 3: Plan does not pay our hospital for the SHOPPABLE_SERVICES and/or the BILLING_REVENUE_SERVICE_CODE beginning with CMG. The Negotiated Charge for a specific Plan will only be displayed for applicable SHOPPABLE_SERVICES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,AMBETTER AL EXCHANGE (AALZ) negotiated charge,ASCENSION COMPLETE MCR (ASCM) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL BLUE ADVANTAGE (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,BLUE CROSS OUT OF STATE (BCBS) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,MEDICARE (MCR) negotiated charge,MULTIPLAN WORK COMP (MULW) negotiated charge,PARADIGM WORK COMP (PARW) negotiated charge,THREE RIVERS HEALTH WC (TRPW) negotiated charge,TRICARE (TRI) negotiated charge,TRICARE FOR LIFE (TRIM) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE EXCHANG (UHCZ) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge
Inpatient Rehabilitation Services,Ultrasound examination of lower large bowel using an endoscope,45391,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Spinal fusion except cervical without major comorbid conditions or complications,460,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Major joint replacement or reattachment of lower extremity without major comorbid conditions or complications,470,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Cervical spinal fusion without comorbid conditions or major comorbid conditions or complications,473,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Removal of gallbladder using an endoscope,47562,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Repair of groin hernia patient age 5 or older,49505,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Biopsy of prostate gland,55700,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Surgical removal of prostate and surrounding lymph nodes using an endoscope,55866,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,"Routine obstetric care for vaginal delivery, including pre-and post-delivery care",59400,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,"Routine obstetric care for cesarean delivery, including pre-and post-delivery care",59510,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Routine obstetric care for vaginal delivery after prior cesarean delivery including pre-and post-delivery care,59610,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62322,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,62323,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,64483,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Removal of recurring cataract in lens capsule using laser,66821,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Removal of cataract with insertion of lens,66984,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,"CT scan, head or brain, without contrast",70450,$1261.00,$945.75,$1008.80,$1059.24,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$1059.24,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$1008.80,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,MRI scan of brain before and after contrast,70553,$2475.00,$1856.25,$1980.00,$2079.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$2079.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$1980.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,"X-Ray, lower back, minimum four views",72110,$238.00,$178.50,$190.40,$199.92,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$199.92,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$190.40,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,MRI scan of lower spinal canal,72148,$1699.00,$1274.25,$1359.20,$1427.16,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$1427.16,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$1359.20,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,"CT scan, pelvis, with contrast",72193,$1850.00,$1387.50,$1480.00,$1554.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$1554.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$1480.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,MRI scan of leg joint,73721,$1426.00,$1069.50,$1140.80,$1197.84,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$1197.84,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$1140.80,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,CT scan of abdomen and pelvis with contrast,74177,$1850.00,$1387.50,$1480.00,$1554.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$1554.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$1480.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,Uterine and adnexa procedures for non-malignancy without comorbid conditions or major comorbid conditions or complications,743,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Ultrasound of abdomen,76700,$223.00,$167.25,$178.40,$187.32,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$187.32,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$178.40,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,"Abdominal ultrasound of pregnant uterus, greater or equal to 14 weeks 0 days, single or first fetus",76805,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Ultrasound pelvis through vagina,76830,$270.00,$202.50,$216.00,$226.80,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$226.80,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$216.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,Mammography of one breast,77065,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Mammography of both breasts,77066,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,"Mammography, screening, bilateral",77067,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Basic metabolic panel,80048,$41.00,$30.75,$32.80,$34.44,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$34.44,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$32.80,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,"Blood test, comprehensive group of blood chemicals",80053,$50.00,$37.50,$40.00,$42.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$42.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$40.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,Obstetric blood test panel,80055,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,"Blood test, lipids",80061,$47.00,$35.25,$37.60,$39.48,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$39.48,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$37.60,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,Kidney function panel test,80069,$30.00,$22.50,$24.00,$25.20,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$25.20,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$24.00,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,Liver function blood test panel,80076,$29.00,$21.75,$23.20,$24.36,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$24.36,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$23.20,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81000,$14.00,$10.50,$11.20,$11.76,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$11.76,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$11.20,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,Manual urinalysis test with examination using microscope,81001,$12.00,$9.00,$9.60,$10.08,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$10.08,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$9.60,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,Automated urinalysis test,81002,$12.00,$9.00,$9.60,$10.08,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$10.08,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$9.60,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,Automated urinalysis test,81003,$9.00,$6.75,$7.20,$7.56,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$7.56,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$7.20,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,Prostate specific antigen,84153,$64.00,$48.00,$51.20,$53.76,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$53.76,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$51.20,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,Prostate specific antigen,84154,$64.00,$48.00,$51.20,$53.76,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$53.76,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$51.20,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,"Blood test, thyroid stimulating hormone",84443,$47.00,$35.25,$37.60,$39.48,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$39.48,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$37.60,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,"Complete blood cell count, with differential white blood cells, automated",85025,$22.00,$16.50,$17.60,$18.48,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$18.48,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$17.60,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,"Complete blood count, automated",85027,$27.00,$20.25,$21.60,$22.68,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$22.68,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,$21.60,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3,Note 3
Inpatient Rehabilitation Services,"Blood test, clotting time",85610,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
Inpatient Rehabilitation Services,Coagulation assessment blood test,85730,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
